Ticker,ROI
AQMS,-0.28679843564462876
AQUA,0.1531749168777338
AR,0.12314936646178123
ARAV,0.36725073464715147
ARAY,0.24249923453369443
ARC,-0.04843817948705112
ARCB,0.24896139192237995
ARCH,0.2769198183002878
ARDX,0.8243137747621951
ARE,0.02883614946680417
ARES,0.010024004987205855
ARGO,0.10942598828937078
ARI,0.009753682006564839
ARKR,-0.1699169912092945
ARL,0.18652123769712095
ARMK,-0.055326117782858175
ARNA,0.05504538672217233
AROC,-0.01226403153815973
AROW,-0.09282946366018403
ARR,0.03666292894572918
ARTNA,0.01018661228256721
ARTW,-0.04341961075566521
ARW,-0.05239026301028011
ARWR,-0.16674180859357682
ASB,0.034697408388184546
ASGN,0.026845276622698016
ASH,-0.04804980821863818
ASIX,0.16210849096207294
ASMB,0.7539116351690033
